"EIS.Facility.ID","Agency.Identifier","Program.System.Code","State","County","State.and.County.Code","Tribal.Name","Facility.Name","Company.Name","NAICS..Primary.","Facility.Source.Type","Operating.Status","Site.Latitiude","Site.Longitude","Physical.Address","City","State.1","Zip.Code","eis$EIS.Facility.ID","KEEP"
13844611,"5014304130","CARB","CA","Stanislaus",6099,NA,"KEY SEAL PRODUCTS INC","KEY SEAL PRODUCTS INC",324121,"Hot Mix Asphalt Plant","OP",37.478064,-120.856129,"724 W LINWOOD AVE","TURLOCK","CA","95380",13844611,"INCLUDE"
10194411,"19102692544","CARB","CA","Los Angeles",6037,NA,"Keyline Lithography","",323111,"","OP",33.89175,-118.27859,"15414 S Broadway Ave","Gardena","CA","90248",10194411,"INCLUDE"
13909111,"191026000000","CARB","CA","Los Angeles",6037,NA,"KEYLINE LITHOGRAPHY INC","KEYLINE LITHOGRAPHY INC",323111,"","OP",33.86723,-118.30823,"1726 W 180TH ST","GARDENA","CA","90248",13909111,"INCLUDE"
5041411,"19102611142","CARB","CA","Los Angeles",6037,NA,"Keysor-Century Corp","Na",325211,"","OP",34.40945,-118.5386,"26000 Springbrook Ave","Saugus","CA","91350",5041411,"INCLUDE"
407811,"113038400","CARB","CA","Alameda",6001,NA,"Kie-Con","Na",327999,"","OP",37.67583,-121.86358,"3200 Busch Road","Pleasanton","CA","94566",407811,"INCLUDE"
361711,"1514303825","CARB","CA","Kern",6029,NA,"Kiewit Pacific Company","Na",324121,"Hot Mix Asphalt Plant","OP",35.34674,-119.04673,"Various Locations, Sjvapcd","Bakersfield","CA","93309",361711,"INCLUDE"
14057211,"191026000000","CARB","CA","Los Angeles",6037,NA,"KIK AEROSOL SOCAL LLC","KIK AEROSOL SOCAL LLC",325998,"","OP",34.025,-117.973,"425 S 9TH AVE","CITY OF INDUSTRY","CA","91746",14057211,"INCLUDE"
2122711,"","","CA","Los Angeles",6037,NA,"Kik-Socal Inc","Na",325611,"","OP",33.95722,-118.06555,"9028 Dice Rd.","Santa Fe Springs","CA","90670",2122711,"INCLUDE"
4969911,"30102621887","CARB","CA","Orange",6059,NA,"KIMBERLY-CLARK WORLDWIDE INC.-FULT. MILL","KIMBERLY-CLARK WORLDWIDE INC.-FULT. MILL",322121,"Pulp and Paper Plant","OP",33.859648,-117.897941,"2001 E ORANGETHORPE AVE","FULLERTON","CA","92831",4969911,"INCLUDE"
14047311,"191026000000","CARB","CA","Los Angeles",6037,NA,"KINCAID & DECKER INC,WOODMART WINDOW COV","KINCAID & DECKER INC,WOODMART WINDOW COV",321911,"","OP",34.215692,-118.477117,"15800 STRATHERN ST","VAN NUYS","CA","91406",14047311,"INCLUDE"
105511,"19102687716","CARB","CA","Los Angeles",6037,NA,"KION PRINTING INC","KION PRINTING INC",323111,"","OP",34.00079,-117.90911,"18130 ROWLAND ST","CITY OF INDUSTRY","CA","91748",105511,"INCLUDE"
19174711,"301026000000","CARB","CA","Orange",6059,NA,"KIRKHILL INC","KIRKHILL INC",325212,"","OP",33.922831,-117.89501,"300 E CYPRESS ST","BREA","CA","92821",19174711,"INCLUDE"
13484811,"3010263436","CARB","CA","Orange",6059,NA,"KIRKHILL-TA CO.","KIRKHILL-TA CO.",326291,"Plastic, Resin, Rubber or Syn Fiber Manuf Plant","OP",33.923,-117.89,"331-333 CLIFFWOOD PARK ST","BREA","CA","92821",13484811,"INCLUDE"
1146111,"19102660478","CARB","CA","Los Angeles",6037,NA,"Kittrich Corp","Na",325910,"","OP",33.98991,-118.19109,"4500-4536 District Blvd","Vernon","CA","90058",1146111,"INCLUDE"
2331811,"","","CA","San Benito",6069,NA,"KMG ELECTRONIC CHEMICALS INC","KMG CHEMICALS INC",325199,"","OP",36.89027,-121.40638,"2340 Bert Dr.","Hollister","CA","95023",2331811,"INCLUDE"
10313911,"191026000000","CARB","CA","Los Angeles",6037,NA,"KMR LABEL LLC","KMR LABEL LLC",323111,"","OP",33.8768,-118.24541,"1360 W WALNUT PKY","COMPTON","CA","90220",10313911,"INCLUDE"
14093811,"451628255","CARB","CA","Shasta",6089,NA,"KNAUF INSULATION, INC.","KNAUF INSULATION, INC.",327993,"Mineral Wool Plant","OP",40.657994,-122.388766,"3100 ASHBY ROAD","SHASTA LAKE","CA","96019",14093811,"INCLUDE"
435311,"19102640481","CARB","CA","Los Angeles",6037,NA,"Koat-Pac Inc","Na",326112,"Printing/Publishing Facility","OP",33.879908,-118.154062,"3300 E 69th St","Long Beach","CA","90805",435311,"INCLUDE"
3258111,"3610261220","CARB","CA","San Bernardino",6071,NA,"Koch Fuels Inc  Koch Materials","Na",324121,"Hot Mix Asphalt Plant","ONRE",34.06256,-117.47984,"14929 Slover Ave","Fontana","CA","92335",3258111,"INCLUDE"
18082911,"1614308454","CARB","CA","Kings",6031,NA,"KOCHERGEN FARMS COMPOSTING INC","KOCHERGEN FARMS COMPOSTING INC",325314,"","OP",36.086398,-120.074802,"33915 AVENAL CUTOFF","AVENAL","CA","93204",18082911,"INCLUDE"
129411,"1130313671","CARB","CA","Alameda",6001,NA,"Kohl & Madden","Na",325910,"","OP",37.504,-121.94664,"44711 Grimmer Blvd","Fremont","CA","94538",129411,"INCLUDE"
6501411,"19102662679","CARB","CA","Los Angeles",6037,NA,"KOP-COAT INC","KOP-COAT INC",325110,"Chemical Plant","OP",33.991892,-118.178911,"5431 DISTRICT BLVD","LOS ANGELES","CA","90040",6501411,"INCLUDE"
95411,"24143045","CARB","CA","Merced",6047,NA,"KOPRO PROCESSING FACILITY","FOSTER POULTRY FARMS",325311,"Fertilizer Plant","OP",37.294437,-120.72017,"12997 W. HIGHWAY 140","LIVINGSTON","CA","95334",95411,"INCLUDE"
1633811,"36051900000000","CARB","CA","San Bernardino",6071,NA,"KORMIL INDUSTRIES, INC.","KORMIL INDUSTRIES, INC.",326191,"","OP",34.46,-117.28395,"17229 LEMON STREET A-1","HESPERIA","CA","92345",1633811,"INCLUDE"
2329211,"34162490","CARB","CA","Sacramento",6067,NA,"Kramer Carton Co","Na",323111,"","OP",38.55522,-121.43491,"1800 61st St","Sacramento","CA","95817",2329211,"INCLUDE"
9907411,"4913031018","CARB","CA","Sonoma",6097,NA,"KRESKY SIGNS, INC","KRESKY SIGNS, INC",321920,"","OP",38.23063,-122.631,"429 1ST STREET","PETALUMA","CA","94952",9907411,"INCLUDE"
19369611,"48130324057","CARB","CA","Solano",6095,NA,"KREYSLER & ASSOCIATES","KREYSLER & ASSOCIATES",326191,"","OP",38.107906,-122.277453,"105 E STREET","VALLEJO","CA","94592",19369611,"INCLUDE"
14175111,"1130318554","CARB","CA","Alameda",6001,NA,"KRISHNA DIGITAL","KRISHNA DIGITAL",323111,"","OP",37.87657,-122.30288,"1417 4TH STREET","BERKELEY","CA","94710",14175111,"INCLUDE"
5815511,"1514301768","CARB","CA","Kern",6029,NA,"KW PLASTICS OF CALIFORNIA","KW PLASTICS OF CALIFORNIA",326199,"","OP",35.427849,-119.05947,"1861 SUNNYSIDE CT","BAKERSFIELD","CA","93308",5815511,"INCLUDE"
