OBJECTID,HUC12,Name,AqHabRank,AqHabSWNorm,AqHabTot,AnadHab,Riparian,Lakes,FreshWetld,MeadowFEW,Ponds,SeepSpring,VernalPool,SaltWetld,Shape_Length,Shape_Area
1893,1.80E+11,Riley Slough,4,0.8,4,N,Y,Y,Y,Y,Y,N,Y,Y,96503.01713,152234634.1
1894,1.80E+11,Duck Creek-Calaveras River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,58842.14461,87773774.67
1895,1.80E+11,Upper Duck Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,47793.25303,72574632.2
1896,1.80E+11,Loch Lane-Dry Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,73935.40784,99440385.67
1897,1.80E+11,Willow Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,56227.77651,58184173.54
1898,1.80E+11,Lower Sutter Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,86771.98887,87911822.61
1899,1.80E+11,Big Canyon Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,53997.11966,110842217.6
1900,1.80E+11,Miners Ravine,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,52896.7341,51327577.78
1901,1.80E+11,Indian Springs Creek-Dry Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,49079.483,82459083.77
1902,1.80E+11,Mill Creek-North Yuba River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,63418.67969,108545983.4
1903,1.80E+11,Mill Creek-East Branch North Fork Feather River,3,0.6,3,N,Y,Y,Y,Y,Y,Y,N,N,35532.46801,59918681.83
1904,1.80E+11,Willow Creek-Middle Fork Feather River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,47438.0853,79928900.43
1905,1.80E+11,Bear Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,36514.07186,56171462.76
1906,1.80E+11,Rock Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,34708.38495,44613352.2
1907,1.80E+11,Dogwood Creek-Middle Fork Feather River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,49212.03448,54167349.49
1908,1.80E+11,Mill Creek-Spanish Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,45956.2611,81050863.57
1909,1.80E+11,Mosquito Creek-North Fork Feather River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,46784.03425,82291742.45
1910,1.80E+11,Upper Wolf Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,39324.96265,82054571.42
1911,1.81E+11,Pine Creek Valley-Pine Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,55975.47929,108749587.8
1912,1.81E+11,Champs Flat-Pine Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,40304.69647,49179819.22
1913,1.80E+11,Rose Canyon-Pit River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,45743.89338,73492039.88
1914,1.80E+11,Upper Turner Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,42299.01705,64497159.97
1915,1.80E+11,Washington Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,55284.15298,88116649.69
1916,1.80E+11,Mammoth Springs-Frontal Clear Lake,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,40705.53133,41087127.28
1917,1.81E+11,San Antonio Terrace-Frontal Pacific Ocean,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,69125.03707,58517322.38
1918,1.81E+11,Morro Bay,3,0.6,3,N,Y,N,Y,Y,Y,N,Y,Y,35326.12344,27808217.91
1919,1.81E+11,Toro Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,40085.88554,39306732.51
1920,1.81E+11,Town of Templeton-Salinas River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,64488.57593,78528836.4
1921,1.81E+11,Paloma Creek-Salinas River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,41214.93924,51836911.6
1922,1.81E+11,Mustard Creek-Salinas River,3,0.6,3,Y,Y,N,Y,Y,N,N,Y,N,60565.66705,112642791.1
1923,1.81E+11,San Jacinto Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,61057.89637,46662855.51
1924,1.80E+11,Upper Warthan Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,58156.77873,118858549.3
1925,1.81E+11,James Creek-San Benito River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,54540.84581,116308459.1
1926,1.80E+11,Cedar Flat Canyon-Panoche Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,64998.39966,128749584.2
1927,1.80E+11,Lower Owens Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,101336.1685,169913156.7
1928,1.80E+11,Mariposa Creek-Duck Slough,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,118372.5887,150530262.8
1929,1.80E+11,Hunt Gulch-Mokelumne River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,51955.08051,59635507.87
1930,1.80E+11,North Fork Weber Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,37869.14811,43294197.84
1931,1.80E+11,Whaler Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,36913.74708,41304864.46
1932,1.80E+11,Slab Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,50785.11426,57841885.46
1933,1.80E+11,Brushy Creek-Middle Fork American River,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,46082.56138,74624761.86
1934,1.80E+11,Upper Shirttail Canyon,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,38244.15299,80014373.67
1935,1.80E+11,Steephollow Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,60480.57349,62700630.83
1936,1.80E+11,Lavezzola Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,43789.01983,73812567.54
1937,1.80E+11,Nelson Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,56052.09949,117841180.2
1938,1.80E+11,Poplar Creek-Middle Fork Feather River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,70861.25583,91511076.52
1939,1.80E+11,Jamison Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,47990.06938,73926194.57
1940,1.80E+11,Little Grizzly Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,55300.27866,90858430.04
1941,1.80E+11,Hosselkus Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,34532.87062,41481384.99
1942,1.81E+11,Piute Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,46447.93419,92309905.64
1943,1.81E+11,Said Valley Reservoir,2,0.4,2,N,N,Y,Y,Y,N,N,N,N,35563.51352,53316815.55
1944,1.80E+11,Crooks Canyon,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,60402.50719,95165360.44
1945,1.80E+11,Hot Creek-Pit River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,71722.18851,95766174.17
1946,1.80E+11,Noble Creek-Pit River,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,67104.46436,107390181.2
1947,1.80E+11,Wild Horse Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,30334.51293,39509618.31
1948,1.81E+11,Jalama Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,43096.51889,63591184.14
1949,1.81E+11,Lower San Antonio Creek,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,54986.63671,99672799.17
1950,1.81E+11,Middle San Antonio Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,39779.6882,49963702.95
1951,1.81E+11,Santa Maria Canyon-Sisquoc River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,64524.36569,67930259.94
1952,1.81E+11,Upper Arroyo Grande Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,47949.04552,92511810.64
1953,1.81E+11,Canada de Los Coches-Cuyama River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,37562.54997,58190960.22
1954,1.81E+11,Toro Creek-Salinas River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,45021.82569,49396561.63
1955,1.80E+11,Upper Avenal Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,64406.73137,107395667.9
1956,1.80E+11,Hot Springs Canyon,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,38845.42236,44446431.31
1957,1.80E+11,Upper Los Gatos Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,36857.99494,56994501.65
1958,1.80E+11,Domengine Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,44447.81221,52213742.02
1959,1.80E+11,Town of Levis,1,0.2,1,N,N,N,Y,Y,N,N,N,N,80997.87107,152217048.2
